station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SCR225,Kirkconnel,KRK,,,,55.38834,-3.998533,,,,,,,,,,,,,,,,,,,,,,,
SCR226,Kirkhill,KKH,,,,55.814156,-4.168751,,,,,,,,,,,,,,,,,,,,,,,
SCR227,Kirknewton,KKN,,,,55.888744,-3.432526,,,,,,,,,,,,,,,,,,,,,,,
SCR228,Kirkwood,KWD,,,,55.85577,-4.048037,,,,,,,,,,,,,,,,,,,,,,,
SCR229,Kyle of Lochalsh,KYL,,,,57.280567,-5.713067,,,,,,,,,,,,,,,,,,,,,,,
SCR230,Ladybank,LDY,,,,56.273834,-3.122284,,,,,,,,,,,,,,,,,,,,,,,
SCR231,Lairg,LRG,,,,58.001701,-4.401,,,,,,,,,,,,,,,,,,,,,,,
SCR232,Lanark,LNK,,,,55.673119,-3.772901,,,,,,,,,,,,,,,,,,,,,,,
SCR233,Langbank,LGB,,,,55.924725,-4.586326,,,,,,,,,,,,,,,,,,,,,,,
SCR234,Langside,LGS,,,,55.821175,-4.277696,,,,,,,,,,,,,,,,,,,,,,,
SCR235,Larbert,LBT,,,,56.022751,-3.830604,,,,,,,,,,,,,,,,,,,,,,,
SCR236,Largs,LAR,,,,55.792637,-4.867942,,,,,,,,,,,,,,,,,,,,,,,
SCR237,Larkhall,LRH,,,,55.739258,-3.974445,,,,,,,,,,,,,,,,,,,,,,,
SCR238,Laurencekirk,LAU,,,,56.835945,-2.466345,,,,,,,,,,,,,,,,,,,,,,,
SCR239,Lenzie,LNZ,,,,55.921364,-4.153932,,,,,,,,,,,,,,,,,,,,,,,
